Sample,Site,Sodium,Oxygen,Magnesium,Potassium,Calcium,Titanium,Iron,Aluminium,Silicon,Lead,Manganese,Chlorine,Silver,Gold,Barium,Strontium,Copper,Nickel,Sulfur,Phosphorus,Rhodium,Tin,Chromium,Arsenic,Zinc
EB008,Kilwa,0.7595526990000001,-1.44e-06,1.418663395,0.978559419,6.435407679,0.412851584,58.65539649,6.691161975,20.69562926,0.007218451,0.981858071,0.08104076,0.0,0.020012789,0.0,0.06784993,0.0,0.0,0.216206778,2.5226761840000003,0,0.0,0.049407019,0.002807817,0.003701134
EB008,Kilwa,0.128313432,3.36e-06,1.560146775,1.11333137,7.390057809,0.358409099,56.27258689999999,6.82034959,22.71639425,0.010903743999999998,1.1087530559999998,0.0,0.0,0.0068527,0.013208756,0.07312872299999999,0.001014264,0.0,0.139576285,2.259601992,0,0.011801657,0.013658662,0.0,0.00190757
EB008,Kilwa,0.018090398,1.35e-06,1.652110377,1.2313835,7.578547633999999,0.37648344,54.53554482,7.584561542999999,23.42494857,0.005365208000000001,1.094081727,0.0,0.0,0.004257958,0.0,0.07260428599999999,0.006795026,0.0,0.112811985,2.27290646,0,0.0,0.024008745,0.0,0.005496971999999999
EB008,Kilwa,0.461501281,-1.79e-06,1.51131035,1.262147165,8.024349911,0.370579418,53.23952631,7.504891521,23.89185346,0.0,1.123634573,0.0,0.0,0.0,0.0,0.071216753,0.0,0.0,0.127155472,2.395939018,0,0.0,0.00718184,0.002207447,0.006507275999999999
EB008,Kilwa,0.089458951,3.05e-07,1.500762942,1.102750442,7.64868273,0.405028547,54.03663302,7.633032063,23.96891809,0.009407325,1.111054772,0.0,0.0,0.0,0.009207033,0.072936221,0.003719972,0.0,0.097359196,2.28729949,0,0.01245603,0.009910585,0.0,0.001382281
EB008,Kilwa,0.686887667,2.49e-06,1.584482681,1.251126849,7.841847302000001,0.36941962,53.65496927,7.334517592,23.61273684,0.003949409,1.094247722,0.0,0.0,0.004469454,0.0,0.078238522,0.002110517,0.0,0.1315943,2.336803368,0,0.0,0.008983811999999999,0.0,0.003612586
EB008,Kilwa,0.598630986,-1.65e-06,1.632433292,1.277693481,8.419488077999999,0.41110556,50.91491613,7.907929747000001,25.09402041,0.010155428,1.21909512,0.0,0.0,0.002603991,4.55e-06,0.088326518,0.005388686,0.0,0.123902443,2.276384382,0,0.0,0.013432916,0.0,0.004489936
EB008,Kilwa,0.8104894440000001,-3.03e-06,1.237219228,1.3927358090000002,9.703089226,0.476846735,46.16243856,8.424442621,27.57182236,0.012423299999999998,1.094983665,0.0,0.0,0.0,0.0,0.11116677,0.002803059,0.0,0.136466454,2.857880038,0,0.0,0.00277772,0.0,0.002418038
EB008,Kilwa,0.322480476,-3.25e-06,0.971871548,1.79892415,9.945926132,0.4664655,47.03522216,9.028612958,26.71106158,0.017572505,1.072983809,0.0,0.0,0.0,0.002297428,0.10144586,0.003360783,0.0,0.225161213,2.288524764,0,0.0,0.004202944,0.0,0.003889442
EB009,Kilwa,0.0,-1.11e-06,0.624479821,0.487084347,10.10525482,0.125725242,71.64354092,0.932761,15.46073914,0.020069664,0.0012629260000000002,0.00027048,0.0,0.019887221,0.0,0.038438508,0.013741331,0.0027359690000000004,0.122724335,0.40128538,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,4.94e-07,1.241214704,0.650847458,6.213204462,0.13780518,76.61880316,1.475772906,13.33283709,0.023062283,0.00919018,0.0,0.0,0.02114945,0.0,0.038318315,0.00172402,0.0,0.152028677,0.084041619,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,3.35e-06,0.746931902,0.324087676,4.85304826,0.142284851,84.12683421,0.789280049,8.571282972999999,0.021500794,0.0059715440000000005,0.0,0.0,0.010652981,0.057384469,0.018858704,0.03531677,0.018629167,0.071919866,0.206012437,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,-6.079999999999999e-07,0.366572906,0.22621958,7.073515556,0.12600749,83.55091108,0.487240973,7.616696608,0.007456256999999998,0.0,0.0,0.0,0.032505967000000004,0.016311994,0.023157872000000003,0.002728096,0.016216422,0.11943926,0.335020547,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,-1.8000000000000001e-06,1.244823913,0.356025621,9.014628668,0.119833682,74.58668283,0.963444788,13.03631168,0.016159003999999998,0.010300818,0.0,0.0,0.017927204,0.0,0.030036055,0.01903197,0.0,0.101966707,0.48282886,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,1.48e-06,1.34960074,0.448361694,7.353277347000001,0.214381192,77.87079182,0.952777202,11.42242418,0.014612178,0.021504618,0.0,0.0,0.026571734,0.0,0.033306205,0.011047123999999998,0.0,0.100475929,0.17504387300000002,0,0.005822695,0.0,0.0,0.0
EB009,Kilwa,0.0,2.61e-07,1.540724297,0.029317494,2.597998794,0.103667738,89.64580111,0.6948552379999999,4.8123526,0.006306069,0.008042779,0.0,0.0,0.03004914,0.009072597,0.013343423,0.018527172,0.038155346,0.035591283,0.4161946620000001,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,-4.65e-07,1.477549833,0.6791202740000001,8.3293005,0.161727896,74.18386904,1.342641469,13.40389775,0.020666749,0.014750008,0.0,0.0,0.029761186,0.011299203999999998,0.049158724,0.002614889,0.0,0.112491539,0.181151403,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,1.37e-06,2.676662866,0.085434795,2.641608519,0.110123917,75.56199438,0.95351527,17.20241309,0.005521816999999999,0.0,0.0,0.0,0.01537077,0.0,0.039928788,0.015863029,0.001279381,0.052190336,0.638091675,0,0.0,0.0,0.0,0.0
EB009,Kilwa,0.0,-2.92e-06,0.565387541,0.186054223,7.222420246,0.07706294,82.77265224,0.374518711,8.004601668,0.039638689,0.0,0.0,0.0,0.013806235,0.0,0.029697377,0.015244145,0.017787142,0.078283583,0.6028481760000001,0,0.0,0.0,0.0,0.0
EB017,Kilwa,0.180178478,1.31e-07,1.340953516,0.6870139190000001,4.836828231,0.298824171,64.10001066,5.208513963,20.69834316,0.004210018,0.658501983,0.0,0.0,0.002950171,0.0,0.047634038,0.0073980969999999984,0.0,0.067234054,1.861405412,0,0.0,0.0,0.0,0.0
